player;nationality;position;squad;age;birth_year;value;height;position2;foot;league;games;games_starts;minutes;goals;assists;pens_made;pens_att;goals_per90;assists_per90;goals_assists_per90;goals_pens_per90;goals_assists_pens_per90;shots_total;shots_on_target;shots_free_kicks;shots_on_target_pct;shots_total_per90;shots_on_target_per90;goals_per_shot;goals_per_shot_on_target;passes;passes_pct;passes_total_distance;passes_progressive_distance;blocks;blocked_shots;blocked_shots_saves;blocked_passes;interceptions;touches;dribbles_completed;dribbles;dribbles_completed_pct;LigaRk;CL;WinCL;Season
Martin Aguirregabiria;ESP;DF;AlavÈs;23;1996;$ 4.000.000,00;178;Defender - Right-Back;right;La Liga;31;23;2099;1;1;0;0;0,04;0,04;0,09;0,04;0,09;3;1;0;33,3;0,13;0,04;0,33;1;1014;71,2;12629;6069;39;8;0;31;9;1231;14;26;53,8;16;0;0;201920#
Oliver Burke;SCO;MF,FW;AlavÈs;22;1997;$ 4.000.000,00;188;Forward - Right Winger;right;La Liga;31;14;1429;1;2;0;0;0,06;0,13;0,19;0,06;0,19;20;9;0;45;1,26;0,57;0,05;0,11;333;67,9;3022;738;25;2;0;23;6;526;26;44;59,1;16;0;0;201920#
VÌctor Camarasa;ESP;MF;AlavÈs;25;1994;$ 4.000.000,00;183;Midfielder - Central Midfield;right;La Liga;17;15;1293;0;1;0;0;0;0,07;0,07;0;0,07;8;2;0;25;0,56;0,14;0;0;533;80,7;8342;1719;16;3;0;13;10;662;16;29;55,2;16;0;0;201920#
RubÈn Duarte;ESP;DF;AlavÈs;23;1995;$ 4.000.000,00;172;Defender - Left-Back;left;La Liga;31;30;2663;0;1;0;0;0;0,03;0,03;0;0,03;20;8;0;40;0,68;0,27;0;0;1310;71,2;17336;8840;62;9;0;53;19;1651;4;10;40;16;0;0;201920#
Rodrigo Ely;BRA;DF;AlavÈs;25;1993;$ 1.000.000,00;188;Defender - Centre-Back;right;La Liga;25;24;2121;2;0;0;0;0,08;0;0,08;0,08;0,08;6;3;0;50;0,25;0,13;0,33;0,67;839;79,5;16672;5747;38;20;0;18;12;1111;4;4;100;16;0;0;201920#
Ljubomir Fejsa;SRB;MF;AlavÈs;30;1988;$ 2.000.000,00;183;Midfielder - Defensive Midfield;right;La Liga;13;11;786;0;0;0;0;0;0;0;0;0;1;0;0;0;0,11;0;0;0;290;80,7;4376;942;9;1;0;8;4;357;3;4;75;16;0;0;201920#
Manu GarcÌa;ESP;MF;AlavÈs;33;1986;$ 1.000.000,00;183;Midfielder - Defensive Midfield;left;La Liga;30;22;1967;0;0;0;0;0;0;0;0;0;20;7;0;35;0,92;0,32;0;0;710;73,4;9535;2300;33;10;0;23;13;961;10;15;66,7;16;0;0;201920#
John Guidetti;SWE;FW;AlavÈs;27;1992;$ 1.000.000,00;185;Forward - Centre-Forward;right;La Liga;5;1;96;0;0;0;0;0;0;0;0;0;2;0;1;0;1,87;0;0;0;35;62,9;350;107;1;0;0;1;0;46;2;4;50;16;0;0;201920#
Joselu;ESP;FW;AlavÈs;29;1990;$ 5.000.000,00;191;Forward - Centre-Forward;right;La Liga;36;31;2782;11;2;1;1;0,36;0,06;0,42;0,32;0,39;81;28;1;34,6;2,62;0,91;0,12;0,36;995;54,4;8574;2354;39;6;0;33;10;1435;12;25;48;16;0;0;201920#
VÌctor Laguardia;ESP;DF;AlavÈs;29;1989;$ 7.000.000,00;185;Defender - Centre-Back;right;La Liga;31;31;2654;1;2;0;0;0,03;0,07;0,1;0,03;0,1;8;1;0;12,5;0,27;0,03;0,13;1;1026;75,4;20218;8928;45;16;0;29;17;1316;3;5;60;16;0;0;201920#
